issue_id,title,project,issue_type,priority,status,assignee_id,story_points,sprint_id,created_date,reporter_id,resolved_date,time_estimate,time_spent
1,Probably service research,DEV,Bug,High,In Review,3,1,6,2025-04-08 14:07:06.393929,11,,26.0,28.8
2,Young last build bring weight,DEV,Bug,Medium,Done,2,21,10,2025-04-08 14:06:43.819535,6,2025-04-27 14:06:43.819535,2.6,2.9
3,Radio team so tree southern,MOBILE,Story,Critical,In Progress,2,5,1,2025-04-08 14:09:42.360319,4,,3.7,5.5
4,Let today style,DEV,Story,High,To Do,8,2,7,2025-04-08 14:07:51.533360,13,,28.8,0.0
5,Film society toward west recent specific,DEV,Task,Medium,In Review,1,2,10,2025-04-08 14:08:33.949817,4,,2.0,0.9
6,Produce right per,WEB,Story,Critical,To Do,8,1,2,2025-04-08 14:04:35.858984,15,,23.6,0.0
7,Congress choose model well by,DEV,Story,Medium,Done,9,5,5,2025-04-08 14:08:21.454960,2,2025-04-16 14:08:21.454960,33.8,32.7
8,Record product project truth,DATA,Bug,High,In Progress,6,2,7,2025-04-08 14:08:36.229533,1,,15.8,20.3
9,Soldier choice law general business,MOBILE,Task,Medium,Done,1,5,10,2025-04-08 14:09:38.134270,3,2025-04-12 14:09:38.134270,2.7,2.3
10,List debate ok pretty describe industry,DEV,Task,High,In Progress,10,1,9,2025-04-08 14:05:40.576528,10,,28.8,34.1
11,Kid view serve,DEV,Epic,High,In Progress,12,1,1,2025-04-08 14:10:26.800688,5,,37.3,23.2
12,Save today never,WEB,Epic,Low,Done,7,2,9,2025-04-08 14:05:43.283494,12,2025-04-17 14:05:43.283494,29.0,25.7
13,Operation technology probably run maintain,DEV,Task,Medium,In Progress,15,1,5,2025-04-08 14:04:50.121986,9,,23.6,2.0
14,Teacher challenge past answer believe,MOBILE,Task,Low,Done,15,3,6,2025-04-08 14:04:54.470360,14,2025-04-16 14:04:54.470360,10.0,14.8
15,Commercial figure either blood attention address,WEB,Bug,Critical,In Progress,5,1,8,2025-04-08 14:10:08.424072,15,,1.6,1.9
16,Return table mean might dinner thus,WEB,Bug,Medium,To Do,15,5,2,2025-04-08 14:07:47.033163,7,,28.1,0.0
17,Message skin ready wall mother,DATA,Task,Medium,In Progress,9,5,7,2025-04-08 14:06:47.656577,4,,10.0,13.0
18,Rise describe area,DEV,Task,High,In Review,7,1,4,2025-04-08 14:07:13.727831,8,,34.5,35.9
19,Finally scientist character however conference,WEB,Task,Medium,Done,5,2,9,2025-04-08 14:07:11.160937,12,2025-04-27 14:07:11.160937,19.2,5.4
20,Democrat catch marriage community strong week,MOBILE,Task,Medium,In Progress,13,2,6,2025-04-08 14:07:22.020870,4,,21.7,1.0
21,Least especially money since four,OPS,Story,Medium,In Progress,2,3,7,2025-04-08 14:10:32.800723,6,,30.4,39.4
22,Fear care leave describe type,MOBILE,Story,Medium,Done,14,2,6,2025-04-08 14:08:32.092743,12,2025-04-09 14:08:32.092743,31.4,18.7
23,Outside during garden him specific sing,MOBILE,Story,Medium,Done,4,1,8,2025-04-08 14:04:50.913900,1,2025-04-12 14:04:50.913900,26.1,10.3
24,Marriage before gun,DEV,Bug,Medium,In Review,2,1,6,2025-04-08 14:04:42.511217,14,,37.6,31.7
25,Edge onto home level,WEB,Story,Medium,In Progress,9,2,7,2025-04-08 14:05:55.301404,6,,39.3,24.8
26,Size yourself popular art,DEV,Epic,Low,In Progress,2,13,8,2025-04-08 14:04:41.118401,10,,37.9,37.0
27,Movie security send article ahead,MOBILE,Bug,Medium,In Progress,2,5,1,2025-04-08 14:06:10.993083,5,,33.1,24.0
28,Society ok claim,DEV,Task,Medium,To Do,2,1,10,2025-04-08 14:09:13.304038,14,,28.5,0.0
29,Skin remember son,DEV,Epic,Medium,Done,1,3,4,2025-04-08 14:08:05.330438,2,2025-04-18 14:08:05.330438,26.9,28.1
30,Face once police weight loss,DATA,Task,Medium,To Do,9,8,6,2025-04-08 14:09:10.893986,1,,5.0,0.0
31,Newspaper main key crime resource,DEV,Task,Medium,Done,8,1,1,2025-04-08 14:10:19.031467,13,2025-04-16 14:10:19.031467,11.6,14.8
32,Professional drive rise road defense,DEV,Bug,Critical,In Progress,2,3,4,2025-04-08 14:05:09.248541,6,,1.2,0.4
33,Truth national those project,DEV,Task,Medium,Done,2,2,6,2025-04-08 14:07:57.394105,11,2025-04-11 14:07:57.394105,6.4,3.2
34,Interview PM activity forward else answer,DEV,Task,Medium,To Do,5,3,7,2025-04-08 14:08:41.623162,2,,18.1,0.0
35,Rate oil teach,WEB,Bug,Medium,To Do,12,3,6,2025-04-08 14:06:07.408403,9,,6.7,0.0
36,Speak skill decade range letter religious,DEV,Task,Medium,In Progress,13,21,4,2025-04-08 14:04:44.619599,9,,36.2,23.7
37,Make itself finally each local avoid,DEV,Bug,Medium,Done,14,1,7,2025-04-08 14:09:39.294766,1,2025-04-20 14:09:39.294766,32.4,46.8
38,Receive under home six,DEV,Story,Low,In Progress,12,5,10,2025-04-08 14:07:56.429201,15,,3.8,2.1
39,Loss recognize general play,DEV,Epic,Medium,Done,14,1,2,2025-04-08 14:10:34.510611,5,2025-04-17 14:10:34.510611,10.7,6.1
40,Short participant agent training difficult,DEV,Task,Medium,In Progress,4,2,6,2025-04-08 14:07:41.867332,8,,32.9,32.2
41,Key contain perhaps piece,WEB,Task,Medium,To Do,2,13,5,2025-04-08 14:09:44.599751,4,,32.3,0.0
42,Door day movement medical,DEV,Task,High,To Do,8,5,2,2025-04-08 14:07:20.416613,3,,37.9,0.0
43,Break color class health,DEV,Bug,Low,Done,8,2,9,2025-04-08 14:07:21.971114,5,2025-04-11 14:07:21.971114,39.9,25.1
44,Bed news pick sort hold,OPS,Epic,Medium,In Review,13,3,7,2025-04-08 14:06:22.052491,5,,39.1,55.8
45,It shoulder we foot manager,OPS,Bug,Medium,In Review,4,1,3,2025-04-08 14:10:03.614138,8,,17.0,22.8
46,Suggest film carry moment administration high,DEV,Bug,Medium,In Progress,14,1,7,2025-04-08 14:04:42.115913,6,,10.8,8.3
47,Leader now born,DEV,Task,Critical,In Progress,4,3,6,2025-04-08 14:05:31.292250,15,,30.6,29.6
48,Operation black out,WEB,Task,Low,In Review,9,3,7,2025-04-08 14:05:33.529518,2,,12.7,1.1
49,Hot medical have loss responsibility expect,MOBILE,Task,Medium,In Progress,4,2,4,2025-04-08 14:06:55.110520,11,,32.4,33.8
50,Season than line away production thus,DATA,Bug,Medium,In Progress,15,3,10,2025-04-08 14:07:16.426583,1,,21.8,23.1
51,Your participant bar business conference,DEV,Story,Critical,To Do,10,2,8,2025-04-08 14:05:47.121548,13,,32.0,0.0
52,Least Mrs risk,MOBILE,Task,Medium,Done,11,1,8,2025-04-08 14:07:48.318075,3,2025-04-12 14:07:48.318075,11.8,6.4
53,Sometimes method example,OPS,Bug,Critical,To Do,9,2,7,2025-04-08 14:06:59.342842,2,,20.8,0.0
54,Pressure peace fall however,WEB,Task,Medium,In Progress,3,8,7,2025-04-08 14:06:29.032456,4,,23.0,7.6
55,Have decision might you role,DEV,Bug,Medium,In Progress,2,5,10,2025-04-08 14:08:44.337146,3,,37.8,51.9
56,Certain official doctor attack state,DEV,Task,High,Done,15,2,8,2025-04-08 14:07:28.101008,15,2025-04-14 14:07:28.101008,11.4,7.3
57,Senior hope second think technology,DEV,Task,Medium,Done,11,1,1,2025-04-08 14:07:20.347345,15,2025-04-17 14:07:20.347345,37.5,36.8
58,Score peace night business,DEV,Story,Medium,In Progress,8,3,6,2025-04-08 14:06:19.123291,9,,32.4,1.6
59,Good agent store up,MOBILE,Bug,Low,In Progress,12,3,2,2025-04-08 14:08:24.059521,15,,29.5,18.3
60,Hotel remain doctor which air goal,DEV,Bug,Medium,To Do,3,1,1,2025-04-08 14:09:39.581481,5,,31.7,0.0
